,Run_Time,Train_AUC,Validation_AUC,delta%
RF_25_10,0.18252801895141602,0.9578456739458185,0.9029973447712417,-5.726217768320721
RF_25_12,0.22836089134216309,0.9797478552084586,0.9032720588235293,-7.8056610155740245
RF_25_15,0.25232529640197754,0.9970664860027647,0.8999468954248366,-9.740533047829146
RF_25_20,0.2822740077972412,0.9999409601285647,0.8922252859477124,-10.772203407589485
RF_25_25,0.253629207611084,0.9998958983968353,0.8930718954248367,-10.683512467975213
RF_30_1,0.09372210502624512,0.8374344721394827,0.8353656045751634,-0.24704829251102928
RF_30_3,0.11569046974182129,0.8757676486333501,0.8670057189542484,-1.0004856531038635
RF_30_5,0.15461516380310059,0.9019481830834942,0.8857883986928103,-1.791653300463266
RF_30_7,0.21639156341552734,0.9253374962602554,0.9021435866013072,-2.5065351563819904
RF_30_10,0.26628756523132324,0.957099904654872,0.9058088235294118,-5.359010159337092
RF_30_12,0.2678554058074951,0.9800818616721398,0.9061060049019608,-7.547926317498332
RF_30_15,0.28552865982055664,0.9970611790480289,0.8984007352941177,-9.895124374224455
RF_30_20,0.315126895904541,0.9999345159692428,0.896048815359477,-10.389250390968723
RF_30_25,0.2962372303009033,0.999958444649078,0.8935866013071895,-10.637626384486238
RF_35_1,0.12164497375488281,0.8607627079532583,0.8575377859477125,-0.37465865746136934
RF_35_3,0.13364291191101074,0.8844119671450223,0.8747058823529412,-1.0974619467682487
RF_35_5,0.17703461647033691,0.9003229755791948,0.8861335784313726,-1.5760341047271267
RF_35_7,0.20476865768432617,0.9260228989410825,0.9025051062091503,-2.5396556347391708
RF_35_10,0.25171637535095215,0.9594865180131785,0.9071333741830065,-5.456370970024709
RF_35_12,0.2856717109680176,0.9807324848460381,0.9040655637254902,-7.817312295165142
RF_35_15,0.3400607109069824,0.9970673389062045,0.9010110294117648,-9.633883865839458
RF_35_20,0.36206555366516113,0.999958112964407,0.9025684232026143,-9.739376929807376
RF_35_25,0.35157179832458496,0.9999787247975326,0.893872549019608,-10.610843325632562
